gene	chr	start	end
NOL9	1	6521347	6554536
TAS1R1	1	6555307	6579755
ZBTB48	1	6579994	6589280
KLHL21	1	6590724	6614607
PHF13	1	6613731	6624030
THAP3	1	6624845	6635586
DNAJC11	1	6634168	6701924
CAMTA1	1	6785454	7769706
VAMP3	1	7771296	7781432
PER3	1	7784291	7845181
UTS2	1	7843083	7853512
TNFRSF9	1	7915871	7943165
PARK7	1	7954264	7985505
ERRFI1	1	8004404	8026312
SLC45A1	1	8318104	8344167
RERE	1	8352397	8848921
ENO1	1	8860977	8879289
ENO1-AS1	1	8878464	8880122
CA6	1	8945867	8975092
SLC2A7	1	9002973	9026423
SLC2A5	1	9035106	9088478
GPR157	1	9100305	9129122
MIR34AHG	1	9139555	9202826
H6PD	1	9234774	9271337
SPSB1	1	9292101	9369532
SLC25A33	1	9539465	9585173
TMEM201	1	9588721	9614877
PIK3CD	1	9629889	9730117
PIK3CD-AS1	1	9652610	9654586
PIK3CD-AS2	1	9672405	9687604
CLSTN1	1	9728926	9823993
CTNNBIP1	1	9848269	9910368
LZIC	1	9922113	9943407
NMNAT1	1	9943428	9985501
RBP7	1	9997054	10016021
UBE4B	1	10032832	10181244
KIF1B	1	10210533	10381606
PGD	1	10398592	10420511
CORT	1	10450031	10451998
DFFA	1	10456522	10472549
PEX14	1	10472288	10630758
CASZ1	1	10636604	10796650
TARDBP	1	11012344	11030528
MASP2	1	11022009	11047241
SRM	1	11054584	11060053
EXOSC10	1	11066613	11099898
MTOR	1	11106531	11262556
MTOR-AS1	1	11143898	11149537
ANGPTL7	1	11189355	11195981
UBIAD1	1	11273198	11296049
FBXO2	1	11637018	11655785
FBXO44	1	11650618	11663327
MAD2L2	1	11657230	11692605
FBXO6	1	11664189	11674354
DRAXIN	1	11690958	11725857
AGTRAP	1	11736084	11754802
C1orf167	1	11761787	11789585
MTHFR	1	11785723	11806455
CLCN6	1	11806096	11848079
NPPA	1	11845709	11848345
NPPB	1	11857464	11858976
KIAA2013	1	11919591	11926428
PLOD1	1	11934205	11975542
MFN2	1	11980181	12015211
MIIP	1	12019466	12032046
TNFRSF8	1	12063303	12144207
TNFRSF1B	1	12166977	12209228
VPS13D	1	12230030	12512047
DHRS3	1	12567909	12620133
AADACL4	1	12644085	12667076
AADACL3	1	12716110	12728760
HNRNPCL1	1	12847377	12848720
HNRNPCL3	1	13060769	13062878
HNRNPCL2	1	13115488	13116854
HNRNPCL4	1	13163914	13165631
PRAMEF8	1	13281304	13285137
LRRC38	1	13474973	13514003
PDPN	1	13583465	13617957
PRDM2	1	13700188	13825079
KAZN	1	13892792	15118043
TMEM51-AS1	1	15111815	15153618
TMEM51	1	15152498	15220484
FHAD1	1	15236521	15400283
EFHD2	1	15409849	15430339
CTRC	1	15438442	15449242
CELA2A	1	15456728	15472091
CELA2B	1	15465909	15491395
CASP9	1	15490832	15526534
DNAJC16	1	15526813	15592379
AGMAT	1	15571699	15585078
DDI2	1	15617458	15669044
PLEKHM2	1	15681461	15734769
SLC25A34	1	15736176	15741392
TMEM82	1	15742499	15747982
FBLIM1	1	15756604	15786594
UQCRHL	1	15807169	15809348
SPEN	1	15836095	15940456
ZBTB17	1	15940403	15976132
HSPB7	1	16014028	16020597
CLCNKA	1	16018146	16034109
CLCNKB	1	16040252	16057367
FAM131C	1	16057769	16073651
EPHA2	1	16124337	16156069
ARHGEF19	1	16197854	16212893
FBXO42	1	16246840	16352487
SZRD1	1	16352575	16398147
SPATA21	1	16387117	16437424
NECAP2	1	16440707	16460081
NBPF1	1	16562319	16613562
CROCC	1	16740273	16972964
MFAP2	1	16974498	16981616
ATP13A2	1	16985958	17011928
SDHB	1	17018664	17054151
PADI2	1	17066761	17119459
PADI1	1	17205128	17246007
PADI3	1	17249098	17284233
PADI4	1	17308195	17364004
PADI6	1	17372196	17401699
RCC2	1	17406755	17439772
ARHGEF10L	1	17539368	17697876
ACTL8	1	17755333	17827063
IGSF21	1	18107710	18378483
KLHDC7A	1	18480930	18485974
PAX7	1	18630846	18748876
ALDH4A1	1	18871425	18902799
IFFO2	1	18904280	18956676
UBR4	1	19074510	19210266
EMC1	1	19215660	19251552
MRTO4	1	19251796	19260128
AKR7A3	1	19282496	19288823
AKR7A2	1	19301991	19312144
CAPZB	1	19338775	19485600
NBL1	1	19596979	19658456
HTR6	1	19664875	19680966
TMCO4	1	19682207	19800500
RNF186	1	19814029	19815283
OTUD3	1	19882395	19912945
PLA2G2A	1	19975431	19980462
PLA2G5	1	20028179	20091911
PLA2G2D	1	20111939	20119566
PLA2G2F	1	20139323	20150381
PLA2G2C	1	20161253	20186518
UBXN10	1	20183293	20196050
VWA5B1	1	20290875	20359534
CAMK2N1	1	20482391	20486210
MUL1	1	20499445	20508151
FAM43B	1	20552573	20555020
CDA	1	20588932	20618908
PINK1	1	20633458	20651511
PINK1-AS	1	20642657	20652193
DDOST	1	20651767	20661544
KIF17	1	20664011	20718017
SH2D5	1	20719724	20732837
HP1BP3	1	20739095	20787323
EIF4G3	1	20806292	21177285
ECE1	1	21217247	21345572
NBPF3	1	21440099	21485005
ALPL	1	21509397	21578410
RAP1GAP	1	21596215	21669846
USP48	1	21678298	21783606
LDLRAD2	1	21812265	21825225
HSPG2	1	21822244	21937310
CELA3B	1	21977022	21998642
CELA3A	1	22001657	22012542
LINC00339	1	22024558	22031223
CDC42	1	22052627	22101360
WNT4	1	22117313	22143969
ZBTB40	1	22428838	22531157
EPHA8	1	22563489	22603595
C1QA	1	22635057	22639681
C1QC	1	22642558	22648110
C1QB	1	22652713	22661637
EPHB2	1	22710839	22921500
KDM1A	1	23019395	23083693
LUZP1	1	23084030	23178152
HTR1D	1	23190178	23217547
LINC01355	1	23281307	23287488
HNRNPR	1	23303771	23344358
ZNF436	1	23359448	23369836
ZNF436-AS1	1	23368485	23371858
TCEA3	1	23370591	23425169
ASAP3	1	23428561	23484637
E2F2	1	23506438	23531233
ID3	1	23557917	23559883
MDS2	1	23581495	23640574
RPL11	1	23691685	23696835
PITHD1	1	23778393	23788232
LYPLA2	1	23791110	23795544
GALE	1	23795599	23800781
HMGCL	1	23801877	23838620
FUCA1	1	23845077	23868356
CNR2	1	23870515	23913362
PNRC2	1	23956839	23963776
SRSF10	1	23964347	23980927
MYOM3	1	24056035	24112190
IL22RA1	1	24119771	24143165
IFNLR1	1	24154168	24187959
GRHL3	1	24199558	24364482
STPG1	1	24355886	24416934
NIPAL3	1	24413527	24476735
RCAN3	1	24502340	24541040
NCMAP	1	24556076	24609328
SRRM1	1	24631716	24673281
CLIC4	1	24745342	24844321
RUNX3	1	24899511	24965121
SYF2	1	25222276	25232504
RSRP1	1	25242248	25338244
RHD	1	25272393	25330445
TMEM50A	1	25338295	25362362
RHCE	1	25362249	25430192
LDLRAP1	1	25543573	25591200
MAN1C1	1	25616791	25786205
MTFR1L	1	25818640	25832947
AUNIP	1	25831913	25859458
PAQR7	1	25861484	25875874
STMN1	1	25884181	25907237
PAFAH2	1	25959767	25999206
EXTL1	1	26019884	26036464
SLC30A2	1	26037252	26046136
TRIM63	1	26051301	26068436
PDIK1L	1	26111157	26125555
FAM110D	1	26159047	26163962
ZNF593	1	26169908	26170873
CNKSR1	1	26177476	26189884
CATSPER4	1	26190561	26202968
CEP85	1	26233669	26278814
SH3BGRL3	1	26280057	26281522
UBXN11	1	26281328	26318363
CD52	1	26317958	26320523
ZNF683	1	26361634	26374522
LIN28A	1	26410817	26429728
DHDDS	1	26432282	26471322
HMGN2	1	26472013	26478209
RPS6KA1	1	26529756	26575030
ARID1A	1	26693236	26782104
PIGV	1	26787054	26800659
ZDHHC18	1	26826688	26857604
SFN	1	26863149	26864456
GPN2	1	26876132	26890283
GPATCH3	1	26890488	26900467
NUDC	1	26900238	26946885
NR0B2	1	26911489	26913975
KDF1	1	26949556	26960788
TRNP1	1	26993692	27001912
SLC9A1	1	27098809	27166981
WDTC1	1	27233776	27308711
TMEM222	1	27322139	27336401
SYTL1	1	27342009	27353937
MAP3K6	1	27355180	27366972
FCN3	1	27369108	27374854
CD164L2	1	27379176	27383333
GPR3	1	27392622	27395814
WASF2	1	27404226	27490308
AHDC1	1	27534035	27604431
FGR	1	27612064	27635565
IFI6	1	27666064	27672212
FAM76A	1	27725961	27763116
STX12	1	27773195	27824443
PPP1R8	1	27830782	27851676
THEMIS2	1	27872543	27886685
RPA2	1	27891524	27914746
SMPDL3B	1	27935000	27959157
XKR8	1	27959588	27968093
EYA3	1	27970344	28088731
PTAFR	1	28147166	28194083
DNAJC8	1	28199456	28233032
SESN2	1	28259473	28282491
MED18	1	28329002	28335965
PHACTR4	1	28369563	28500364
RCC1	1	28505943	28539300
TRNAU1AP	1	28553001	28578545
SNHG12	1	28578536	28583132
TAF12	1	28587829	28648364
RAB42	1	28592200	28595449
RNU11	1	28648600	28648734
GMEB1	1	28668280	28719353
YTHDF2	1	28736621	28769784
OPRD1	1	28812170	28871267
EPB41	1	28887091	29120046
TMEM200B	1	29119429	29123918
SRSF4	1	29147743	29181922
MECR	1	29192657	29230945
PTPRU	1	29236505	29326813
MATN1	1	30711277	30723585
MATN1-AS1	1	30718504	30726846
LAPTM5	1	30732465	30757855
SDC3	1	30869466	30908810
PUM1	1	30931505	31065991
NKAIN1	1	31179344	31239966
SNRNP40	1	31259568	31296788
ZCCHC17	1	31296982	31365527
FABP3	1	31364010	31376850
SERINC2	1	31409565	31434680
LINC01226	1	31506209	31583306
TINAGL1	1	31576485	31587689
HCRTR1	1	31617660	31632518
PEF1	1	31629866	31644896
COL16A1	1	31652260	31704319
ADGRB2	1	31727117	31764893
SPOCD1	1	31790422	31816022
PTP4A2	1	31906421	31944856
KHDRBS1	1	32013687	32060850
TMEM39B	1	32072031	32102866
KPNA6	1	32108056	32176563
TXLNA	1	32178097	32198299
CCDC28B	1	32200383	32205453
IQCC	1	32205648	32208688
DCDC2B	1	32209079	32216196
TMEM234	1	32214472	32222359
EIF3I	1	32221077	32245397
FAM167B	1	32247222	32248856
LCK	1	32251244	32286170
HDAC1	1	32291921	32333635
MARCKSL1	1	32333827	32336233
TSSK3	1	32351521	32364312
FAM229A	1	32361270	32364278
BSDC1	1	32364633	32394731
ZBTB8B	1	32465050	32496686
ZBTB8A	1	32539142	32605941
ZBTB8OS	1	32600172	32650969
RBBP4	1	32651142	32686211
SYNC	1	32679906	32703596
S100PBP	1	32816408	32858879
FNDC5	1	32862268	32872482
HPCA	1	32881498	32898441
TMEM54	1	32894593	32901440
RNF19B	1	32929036	32964915
AK2	1	33007986	33080996
AZIN2	1	33081104	33123492
TRIM62	1	33145399	33182059
ZNF362	1	33256359	33300719
PHC2	1	33323623	33431095
ZSCAN20	1	33472597	33501643
CSMD2	1	33513998	34165842
HMGB4	1	33860475	33864791
CSMD2-AS1	1	33868953	33893726
C1orf94	1	34166883	34219131
SMIM12	1	34712737	34859805
GJB5	1	34755034	34758512
GJB4	1	34759740	34763724
GJB3	1	34781214	34786369
GJA4	1	34792997	34795756
DLGAP3	1	34865436	34929650
ZMYM6	1	34986144	35031951
ZMYM1	1	35032172	35118818
SFPQ	1	35176378	35193446
ZMYM4	1	35268667	35422058
ZMYM4-AS1	1	35358822	35366077
KIAA0319L	1	35393883	35557950
NCDN	1	35557456	35567274
TFAP2E	1	35573314	35595328
PSMB2	1	35599541	35641526
C1orf216	1	35713875	35718894
CLSPN	1	35720218	35770002
AGO4	1	35808016	35857890
AGO1	1	35869808	35930532
AGO3	1	35930696	36072500
TEKT2	1	36084094	36088278
COL8A2	1	36095239	36125222
TRAPPC3	1	36136570	36156053
MAP7D1	1	36155579	36180849
THRAP3	1	36224392	36305376
SH3D21	1	36306368	36329340
EVA1B	1	36322030	36324154
STK40	1	36339620	36385927
LSM10	1	36391238	36397945
OSCP1	1	36415827	36450451
MRPS15	1	36455718	36464418
CSF3R	1	36465669	36483322
GRIK3	1	36795527	37034515
ZC3H12A	1	37474496	37484379
MEAF6	1	37489993	37514806
SNIP1	1	37534449	37554293
DNALI1	1	37556919	37566857
GNL2	1	37566815	37595955
RSPO1	1	37610802	37635604
CDCA8	1	37692481	37709719
EPHA10	1	37713880	37765133
MANEAL	1	37793847	37804557
YRDC	1	37802945	37808208
C1orf122	1	37806979	37809454
MTF1	1	37809574	37859614
INPP5B	1	37860696	37947077
SF3A3	1	37956975	37990517
FHL3	1	37994394	38006380
POU3F1	1	38043829	38046793
RRAGC	1	38838198	38859772
MYCBP	1	38862493	38873378
GJA9	1	38874069	38881587
RHBDL2	1	38885807	38941830
AKIRIN1	1	38991272	39006059
NDUFS5	1	39026318	39034636
MACF1	1	39081316	39487177
BMP8A	1	39491069	39529869
PABPC4	1	39560709	39576868
HEYL	1	39623435	39639643
NT5C1A	1	39651229	39673328
HPCAL4	1	39678648	39691485
PPIE	1	39692182	39763914
BMP8B	1	39757182	39788865
OXCT2	1	39769523	39771348
TRIT1	1	39838110	39883511
MYCL	1	39895428	39902256
MFSD2A	1	39955112	39969968
CAP1	1	40039735	40072767
PPT1	1	40072710	40097267
RLF	1	40161387	40240921
TMCO2	1	40245947	40251684
ZMPSTE24	1	40258041	40294180
COL9A2	1	40300487	40317813
SMAP2	1	40344850	40423326
ZFP69B	1	40450053	40464142
ZFP69	1	40477233	40496530
EXO5	1	40508441	40517724
ZNF684	1	40531573	40548168
RIMS3	1	40620679	40665690
NFYC-AS1	1	40669089	40692086
NFYC	1	40691570	40771606
KCNQ4	1	40783675	40840452
CITED4	1	40861054	40862363
CTPS1	1	40979300	41012565
SLFNL1-AS1	1	41014590	41043890
SLFNL1	1	41015589	41024551
SCMH1	1	41027202	41242306
FOXO6	1	41361922	41383590
EDN2	1	41478774	41484686
HIVEP3	1	41506365	42035925
GUCA2B	1	42153410	42155820
GUCA2A	1	42162690	42164745
FOXJ3	1	42176535	42335913
RIMKLA	1	42380792	42424232
ZMYND12	1	42430329	42456253
PPCS	1	42456117	42473385
CCDC30	1	42463221	42657190
PPIH	1	42658185	42676758
YBX1	1	42682408	42703805
CLDN19	1	42733093	42740254
P3H1	1	42746335	42767084
C1orf50	1	42767245	42779491
SVBP	1	42807040	42817397
ERMAP	1	42817078	42845907
ZNF691	1	42846573	42852477
SLC2A1	1	42925353	42958893
EBNA1BP2	1	43164175	43270936
CFAP57	1	43172330	43254358
TMEM125	1	43269979	43274007
C1orf210	1	43281866	43285908
TIE1	1	43300971	43323108
MPL	1	43337808	43354466
CDC20	1	43358928	43363207
ELOVL1	1	43363396	43368075
MED8	1	43383917	43389808
SZT2	1	43389882	43454247
SZT2-AS1	1	43447776	43448644
HYI	1	43450607	43453999
HYI-AS1	1	43453927	43456995
PTPRF	1	43525086	43626579
KDM4A	1	43649256	43705518
KDM4A-AS1	1	43685123	43708138
ST3GAL3	1	43705824	43931167
ARTN	1	43933320	43937244
IPO13	1	43946830	43968024
DPH2	1	43969978	43973373
ATP6V0B	1	43974487	43978295
B4GALT2	1	43978943	43991173
CCDC24	1	43991359	43996529
SLC6A9	1	43991500	44031467
KLF17	1	44118821	44135140
DMAP1	1	44213427	44220681
ERI3	1	44221070	44355267
RNF220	1	44405185	44651724
TMEM53	1	44635238	44674481
KIF2C	1	44739817	44767767
RPS8	1	44775251	44778779
BEST4	1	44781836	44791550
PLK3	1	44800346	44805995
BTBD19	1	44808523	44817381
PTCH2	1	44819154	44843253
EIF2B3	1	44850522	44986722
HECTD3	1	45002540	45011369
UROD	1	45010950	45015575
ZSWIM5	1	45016395	45306209
LINC01144	1	45303910	45305619
HPDL	1	45326895	45328710
MUTYH	1	45329163	45340893
TOE1	1	45340012	45343976
TESK2	1	45343877	45491203
MMACHC	1	45500300	45513382
PRDX1	1	45510914	45542816
AKR1A1	1	45550475	45570051
NASP	1	45583581	45618905
CCDC17	1	45620044	45624058
GPBP1L1	1	45627284	45688408
TMEM69	1	45688149	45694443
IPP	1	45694324	45750653
MAST2	1	45786987	46036228
PIK3R3	1	46040140	46133338
TSPAN1	1	46173794	46185968
POMGNT1	1	46188681	46220305
LURAP1	1	46203334	46221256
RAD54L	1	46246461	46278482
LRRC41	1	46261196	46303616
UQCRH	1	46300900	46316796
NSUN4	1	46340719	46369218
FAAH	1	46394265	46415754
DMBX1	1	46489822	46516218
MKNK1-AS1	1	46538611	46570255
KNCN	1	46545641	46551647
MKNK1	1	46557407	46616843
MOB3C	1	46607719	46616862
ATPAF1	1	46632071	46673867
TEX38	1	46668855	46673594
EFCAB14-AS1	1	46674036	46692098
EFCAB14	1	46674659	46719146
CYP4B1	1	46757838	46819413
CYP4A11	1	46928862	46941594
CYP4X1	1	47023666	47050751
CYP4Z1	1	47067231	47118318
CYP4A22-AS1	1	47096653	47181087
CYP4A22	1	47137419	47149742
LINC00853	1	47179250	47180613
PDZK1IP1	1	47183582	47191398
TAL1	1	47216290	47232225
STIL	1	47250139	47314892
CMPK1	1	47333790	47394866
LINC01389	1	47380733	47433569
FOXE3	1	47416285	47418052
FOXD2-AS1	1	47432133	47434641
FOXD2	1	47438044	47440691
TRABD2B	1	47760528	47997385
SLC5A9	1	48222685	48248644
SPATA6	1	48295373	48472279
AGBL4	1	48532854	50023954
BEND5	1	48727519	48776969
ELAVL4	1	50024029	50203772
DMRTA2	1	50417550	50423468
FAF1	1	50437028	50960279
CDKN2C	1	50960745	50974634
C1orf185	1	51102221	51148086
LINC01562	1	51195095	51236897
RNF11	1	51235625	51273447
TTC39A	1	51287258	51345116
TTC39A-AS1	1	51329616	51335410
EPS15	1	51354263	51519387
OSBPL9	1	51577179	51798427
NRDC	1	51787517	51878805
RAB3B	1	51907956	51990700
TXNDC12	1	52020130	52055772
KTI12	1	52032103	52033810
TXNDC12-AS1	1	52050918	52052683
BTF3L4	1	52056199	52090716
ZFYVE9	1	52141888	52348671
CC2D1B	1	52345723	52366318
ORC1	1	52372010	52404471
PRPF38A	1	52404060	52420836
GPX7	1	52602371	52609051
COA7	1	52684449	52698355
ZYG11B	1	52726447	52827336
ZYG11A	1	52842511	52894998
ECHDC2	1	52895910	52927212
SCP2	1	52927276	53051698
PODN	1	53061293	53093681
SLC1A7	1	53087179	53142638
CPT2	1	53196792	53214197
MAGOH	1	53226890	53238621
LRP8	1	53242364	53328469
GLIS1	1	53506232	53739164
NDC1	1	53765460	53838560
YIPF1	1	53847531	53890683
DIO1	1	53891239	53911086
LRRC42	1	53946045	53968168
LDLRAD1	1	54007298	54018194
TMEM59	1	54026681	54053504
TCEANC2	1	54052867	54112519
CDCP2	1	54132687	54153770
CYB5RL	1	54169651	54200073
MRPL37	1	54184041	54225464
SSBP3	1	54225432	54413479
SSBP3-AS1	1	54236440	54239063
ACOT11	1	54542257	54639192
FAM151A	1	54609178	54623556
MROH7	1	54641754	54710266
MROH7-TTC4	1	54641786	54742308
TTC4	1	54715835	54742657
PARS2	1	54756594	54764546
TTC22	1	54779712	54801323
DHCR24	1	54849627	54887207
TMEM61	1	54886833	54992296
BSND	1	54998933	55017172
PCSK9	1	55039445	55064852
USP24	1	55066359	55215753
PLPP3	1	56494761	56645301
PRKAA2	1	56645314	56715335
C8A	1	56854768	56918223
C8B	1	56929099	56974383
DAB1	1	56994778	58546734
DAB1-AS1	1	57860532	57880907
OMA1	1	58415384	58546838
TACSTD2	1	58575433	58577252
MYSM1	1	58643440	58700090
JUN	1	58776845	58784048
FGGY	1	59295910	59810647
HOOK1	1	59814786	59876369
CYP2J2	1	59893308	59926822
C1orf87	1	59987269	60073770
NFIA	1	60865259	61462788
NFIA-AS2	1	60912675	61056885
TM2D1	1	61673636	61725423
L1TD1	1	62194257	62235060
KANK4	1	62236165	62319434
USP1	1	62436041	62451804
DOCK7	1	62454298	62688464
ANGPTL3	1	62597464	62607196
ATG4C	1	62783821	62865999
FOXD3-AS1	1	63320056	63324801
ITGB3BP	1	63320884	63593721
FOXD3	1	63322567	63325128
ALG6	1	63367575	63438553
EFCAB7	1	63523372	63572693
PGM1	1	63593241	63660245
ROR1	1	63774017	64181498
ROR1-AS1	1	64094379	64171342
UBE2U	1	64203623	64267368
CACHD1	1	64469765	64693058
RAVER2	1	64744861	64833233
JAK1	1	64833223	65067754
AK4	1	65146902	65232145
DNAJC6	1	65248219	65415871
LEPROT	1	65420587	65436007
LEPR	1	65420652	65641559
PDE4B	1	65792514	66374579
SGIP1	1	66533267	66751139
INSL5	1	66797740	66801276
MIER1	1	66924895	66988619
SLC35D1	1	66999350	67054159
C1orf141	1	67092165	67231853
IL23R	1	67138907	67259979
IL12RB2	1	67307364	67398724
SERBP1	1	67407810	67430415
GADD45A	1	67685201	67688334
GNG12	1	67701466	67833476
GNG12-AS1	1	67832193	68202987
DIRAS3	1	68045886	68051717
WLS	1	68098473	68233120
RPE65	1	68428822	68451103
DEPDC1	1	68474152	68497230
DEPDC1-AS1	1	68496671	68538627
LRRC7	1	69567922	70151945
LRRC40	1	70143411	70205639
SRSF11	1	70205670	70253052
ANKRD13C	1	70258999	70354734
CTH	1	70406194	70442771
PTGER3	1	70852353	71047816
ZRANB2-AS1	1	71047497	71067483
ZRANB2	1	71063251	71081289
NEGR1	1	71395943	72282539
LINC01360	1	73305609	73355255
LRRIQ3	1	74026015	74198187
FPGT-TNNI3K	1	74198235	74544393
FPGT	1	74198238	74234086
TNNI3K	1	74235285	74544432
LRRC53	1	74469376	74512611
ERICH3	1	74568117	74673792
ERICH3-AS1	1	74577430	74626098
CRYZ	1	74701488	74733104
TYW3	1	74733152	74767555
LHX8	1	75128434	75161533
SLC44A5	1	75202129	75611114
ACADM	1	75724431	75787575
RABGGTB	1	75786188	75795086
MSH4	1	75796882	75913242
ASB17	1	75918873	75932404
ST6GALNAC3	1	76074746	76634603
ST6GALNAC5	1	76867447	77067546
PIGK	1	77088987	77219508
AK5	1	77282019	77559966
ZZZ3	1	77562416	77683422
USP33	1	77694725	77759884
NEXN-AS1	1	77881348	77889539
NEXN	1	77888480	77943895
FUBP1	1	77944055	77979527
DNAJB4	1	77979070	78018529
GIPC2	1	77979542	78138448
PTGFR	1	78303884	78540701
IFI44L	1	78619902	78646145
IFI44	1	78647078	78664412
ADGRL4	1	78889764	79282124
ADGRL2	1	81306112	81993940
LINC01362	1	82903183	83166815
LINC01361	1	82970820	82986208
TTLL7	1	83865024	83999164
PRKACB	1	84078062	84238498
SAMD13	1	84298366	84389957
DNASE2B	1	84398484	84415018
RPF1	1	84479257	84498352
GNG5	1	84498284	84507237
CTBS	1	84549611	84574480
LINC01555	1	84628230	84635020
SSX2IP	1	84643706	84690955
LPAR3	1	84811601	84893540
MCOLN2	1	84925583	84997115
MCOLN3	1	85018082	85048679
SYDE2	1	85156851	85201724
C1orf52	1	85249953	85259672
BCL10	1	85265776	85276632
DDAH1	1	85318481	85578363
ZNHIT6	1	85649417	85708433
COL24A1	1	85729233	86156943
ODF2L	1	86346824	86396342
CLCA2	1	86424171	86456553
CLCA1	1	86468368	86501400
CLCA4	1	86547076	86580758
SH3GLB1	1	86704520	86748184
HS2ST1	1	86914635	87109982
LINC01140	1	87129765	87169198
LMO4	1	87328428	87348923
LINC01364	1	87353521	87371683
PKN2-AS1	1	87620803	88685450
PKN2	1	88684222	88836255
GTF2B	1	88852633	88891944
RBMXL1	1	88979456	88992960
GBP3	1	89006666	89022894
GBP1	1	89051505	89072769
GBP2	1	89106132	89150456
GBP7	1	89131742	89176062
GBP4	1	89181144	89198942
GBP5	1	89256189	89272890
GBP6	1	89363895	89388160
LRRC8B	1	89524829	89597861
LRRC8C	1	89632707	89769903
LRRC8D	1	89820978	89936611
ZNF326	1	89995110	90035533
BARHL2	1	90711539	90717302
ZNF644	1	90915298	91022376
HFM1	1	91260766	91404856
CDC7	1	91500535	91527360
TGFBR3	1	91680343	91906335
BRDT	1	91949343	92014426
EPHX4	1	92029475	92063538
SETSIP	1	92074533	92075411
BTBD8	1	92080305	92184725
GLMN	1	92245788	92299009
RPAP2	1	92299028	92402056
GFI1	1	92472360	92486925
EVI5	1	92508696	92792416
RPL5	1	92831990	92841924
MTF2	1	93079235	93139079
TMED5	1	93149742	93180516
CCDC18	1	93179895	93279048
DR1	1	93345907	93369493
FNBP1L	1	93448055	93554661
BCAR3	1	93561741	93847488
DNTTIP2	1	93866284	93879918
GCLM	1	93885199	93909513
ABCA4	1	93992834	94121148
ARHGAP29	1	94148988	94275068
ABCD3	1	94418242	94518666
F3	1	94529173	94541851
SLC44A3	1	94820278	94895246
CNN3	1	94896949	94927696
ALG14	1	94974405	95072951
RWDD3	1	95234189	95247685
PTBP2	1	96721573	96823738
DPYD	1	97077743	97995000
DPYD-AS1	1	97095923	97322955
DPYD-AS2	1	97796921	97798066
MIR137HG	1	97933474	98054717
SNX7	1	98661672	98760504
PLPPR5	1	98890245	99227929
PLPPR4	1	99264292	99309590
PALMD	1	99645499	99695178
FRRS1	1	99703970	99766635
AGL	1	99849777	99924024
SLC35A3	1	99969351	100035634
SASS6	1	100083563	100132955
TRMT13	1	100133045	100150496
LRRC39	1	100148424	100178267
DBT	1	100182222	100249873
